44,Brass Monkey,"['55 Little W 12th St', 'New York, NY 10014']",VYHY4LbrRWZCoZzW25zynQ,3.0,840,"{'latitude': 40.7406584244867, 'longitude': -74.0085168948392}",$$
45,Ruby's Bar & Grill,"['1213 Riegelmann Boardwalk', 'Brooklyn, NY 11224']",LG_HHFQ0vD-PO7WTnrMzLA,3.5,157,"{'latitude': 40.573343, 'longitude': -73.980134}",$$
46,Rocky McBride's,"['27-01 23rd Ave', 'Astoria, NY 11105']",lPAqNxEtJrcZY-X17h4zTQ,4.5,81,"{'latitude': 40.77611, 'longitude': -73.91488}",$$
47,O'Hara's Downtown,"['172 1st St', 'Jersey City, NJ 07302']",KAWZ2Msx0fbRhN1W4_cggw,3.5,252,"{'latitude': 40.7215259224176, 'longitude': -74.0408027172089}",$$
48,Clinton Hall,"['16 W 36th St', 'New York, NY 10018']",bpjDo7svAFD10eszaOPQHw,4.0,198,"{'latitude': 40.75009, 'longitude': -73.98471}",$$
49,Mustang Harry's,"['352 7th Ave', 'New York, NY 10001']",nVjrffApH3q_PkjmZdqpHg,3.5,353,"{'latitude': 40.74842667, 'longitude': -73.99296667}",$$
0,Jack Doyle's Bar & Restaurant,"['240 W 35th St', 'New York, NY 10001']",sDajjybHSYFw8gTVbknPGA,4.0,331,"{'latitude': 40.752132, 'longitude': -73.991852}",$$
1,Stan's Sports Bar,"['836 River Ave', 'Bronx, NY 10451']",_QA8vFYCzqICqssRZ_5lhQ,4.0,133,"{'latitude': 40.8268203, 'longitude': -73.9263982}",$$
2,Stout -  Grand Central,"['60 E 41st St', 'New York, NY 10017']",35ezIH9BDHLY4XVQrxw6NA,3.5,224,"{'latitude': 40.751629629364615, 'longitude': -73.97886976560669}",$$
3,Turnmill,"['119 E 27th St', 'New York, NY 10016']",bF2waGOCiiZ6L9AUA46Rsw,3.5,142,"{'latitude': 40.7424, 'longitude': -73.98356}",$$
4,Amity Hall Uptown,"['982 Amsterdam Ave', 'New York, NY 10025']",yOPbrFZ2ZUsyQWsedP6gUg,4.0,208,"{'latitude': 40.80231, 'longitude': -73.96475}",$$
5,Slainte Bar & Lounge,"['304 Bowery', 'New York, NY 10012']",RBkz0yuQfs_5ExPhL-6jpg,4.0,237,"{'latitude': 40.724811, 'longitude': -73.992832}",$$
6,PJ Clarke's,"['44 W 63rd St', 'Lincoln Square', 'New York, NY 10023']",60_ONUWGij1TbvDHSEcOpQ,3.0,838,"{'latitude': 40.7713765, 'longitude': -73.9824758}",$$
7,El Jefe Nyc,"['186 Dyckman St', 'New York, NY 10040']",bQwxyhOMb8TyzE6nMMk9mQ,2.5,95,"{'latitude': 40.864521982219, 'longitude': -73.9266331493855}",$$
8,White Horse Tavern - Financial District,"['25 Bridge St', 'New York, NY 10004']",lHGQM__w1x5Dxiq3aRPCTQ,4.0,374,"{'latitude': 40.70372, 'longitude': -74.01237}",$
9,Gantry Bar & Kitchen,"['47-02 Vernon Blvd', 'Long Island City, NY 11101']",njDA4ALbcnjLloNC_y0E9w,3.5,142,"{'latitude': 40.7453953419365, 'longitude': -73.9532279223204}",$$
10,Brooklyn Ice House,"['318 Van Brunt St', 'Brooklyn, NY 11231']",Hc2KkfFWYnWYtL11_F40Ew,4.5,226,"{'latitude': 40.67919, 'longitude': -74.011099}",$
11,Tom & Jerry's,"['288 Elizabeth St', 'New York, NY 10012']",iNJDjdm3C9pUTiEcSxOtCA,4.0,256,"{'latitude': 40.724617, 'longitude': -73.993156}",$$
12,Clyde Fraziers Wine and Dine,"['485 10th Ave', 'New York, NY 10018']",ygl43IfAeM8X4XYlSTr90w,3.5,570,"{'latitude': 40.756784795428, 'longitude': -73.9979356060821}",$$
13,Taproom No 307,"['307 3rd Ave', 'New York, NY 10010']",r0kjf2R2H0GMJm5Yj4AusA,3.5,498,"{'latitude': 40.738981, 'longitude': -73.98266}",$$
14,Saluggi's East,"['399 Grand St', 'New York, NY 10002']",ECw0vk1IykU3QIX1okSXdA,3.5,106,"{'latitude': 40.715948062187, 'longitude': -73.9873785183775}",$$
15,Carragher's Pub & Restaurant,"['228 W 39th St', 'New York, NY 10018']",7boggcCID7gVdNFQn4e8hQ,4.0,222,"{'latitude': 40.7561483754108, 'longitude': -73.9908477827673}",$$
16,Lone Wolf,"['1089 Broadway', 'Brooklyn, NY 11221']",m1SprA3LBB5mL8QaH5GTew,4.0,101,"{'latitude': 40.694531, 'longitude': -73.930436}",$
17,Jack's Fire Dept,"['39-46 Skillman Ave', 'Sunnyside, NY 11104']",KFNYlukrDsFBVA0qkXEduw,4.0,90,"{'latitude': 40.7470827, 'longitude': -73.923715}",$
18,Amity Hall,"['80 W 3rd St', 'New York, NY 10012']",6FIzpXy82HBT3KZaiA38-Q,3.5,421,"{'latitude': 40.72963, 'longitude': -73.99892}",$$
19,Brooklyn Public House,"['247 Dekalb Ave', 'Brooklyn, NY 11205']",LDwxXfapMw6xNbTF0YDFaQ,3.5,324,"{'latitude': 40.68958, 'longitude': -73.96939}",$$
20,Cooper's Craft & Kitchen,"['87 2nd Ave', 'New York, NY 10003']",7Bb_IDWV_zJqpBjAvxuBIA,4.0,438,"{'latitude': 40.72704, 'longitude': -73.9892}",$$
21,Mason Jar NYC,"['43 E 30th St', 'New York, NY 10016']",qjzkDnjT2sIa_8-uYaMYoA,3.5,442,"{'latitude': 40.74489, 'longitude': -73.98368}",$$
22,FancyFree,"['71 Lafayette Ave', 'Brooklyn, NY 11217']",N1yHIKuKhvWsvH-lGkoCEw,4.0,14,"{'latitude': 40.687361, 'longitude': -73.975467}",
23,Black Horse Pub,"['568 5th Ave', 'Brooklyn, NY 11215']",AMXOlur-z5DXBeyri9b-Hg,4.0,200,"{'latitude': 40.66518, 'longitude': -73.989997}",$$
24,Third Avenue Ale House,"['1644 3rd Ave', 'New York, NY 10128']",xwdyPDcF1PifAiXyNnyA5Q,3.5,315,"{'latitude': 40.7828, 'longitude': -73.95129}",$$
25,Mercury Bar,"['659 9th Ave', 'New York, NY 10036']",vU1_-GPs21FfCTWr80y0uw,3.5,427,"{'latitude': 40.7608736, 'longitude': -73.9911787}",$$
26,Legends Bar & Grill,"['7104 35th Ave', 'Jackson Heights, NY 11372']",W3aQdTf2zob3_Bn-sqRLAg,4.0,107,"{'latitude': 40.750448, 'longitude': -73.89472}",$$
27,Breakroom,"['83 Baxter St', 'New York, NY 10013']",MfbVI5reXLIIs8Cc2HwgQw,4.5,1609,"{'latitude': 40.7166907225542, 'longitude': -73.9999440120647}",$$
28,Two 8 Two Bar & Burger,"['282 Atlantic Ave', 'Brooklyn, NY 11201']",xiEBdZ8z5KY21Vw2pY2fJQ,4.0,673,"{'latitude': 40.688536, 'longitude': -73.989728}",$$
29,Blind Tiger Ale House,"['281 Bleecker St', 'New York, NY 10014']",PMp7WlHIXQUnej-Ds1jRfw,4.0,889,"{'latitude': 40.731926, 'longitude': -74.003223}",$$
30,Houston Hall,"['222 W Houston St', 'New York, NY 10014']",U3TwPnfQ1aJuilUB-JnUNw,3.5,549,"{'latitude': 40.72866, 'longitude': -74.00472}",$$
31,Bases Loaded,"['2997 Westchester Ave', 'Bronx, NY 10461']",1at1CAz-O171bJkmZ_1EaA,4.5,14,"{'latitude': 40.84733, 'longitude': -73.83224}",$
32,American Trash,"['1471 1st Ave', 'New York, NY 10021']",YnOLKAOE09BcsoU61ExlkA,3.5,111,"{'latitude': 40.77091, 'longitude': -73.95409}",$
33,Bravest,"['700 2nd Ave', 'New York, NY 10016']",gosjtZsjmPTIBY4eB4qD2Q,4.0,194,"{'latitude': 40.747115, 'longitude': -73.973961}",$$
34,Kelly's Pub,"['13611 41st Ave', 'Flushing, NY 11355']",rZgTvfxDIsjbZ3ubJdzElw,4.0,37,"{'latitude': 40.7588099, 'longitude': -73.8290899}",$
35,Nutty Sports Bar & Grill,"['105-06 Jamaica Ave', 'Richmond Hill, NY 11418']",fiIx-m0EB91ePwVprXkvLg,4.5,3,"{'latitude': 40.695023, 'longitude': -73.841673}",
36,The Kettle Black,"['8622 3rd Ave', 'Brooklyn, NY 11209']",X4YuMX1KgFxIc3pNkRDBZA,3.5,396,"{'latitude': 40.6229, 'longitude': -74.03159}",$$
37,The Gin Mill,"['442 Amsterdam Ave', 'New York, NY 10024']",xGegODk2DyGam3n03Wk1fg,3.5,401,"{'latitude': 40.7847, 'longitude': -73.97741}",$$
38,Inwood Bar and Grill,"['4892 Broadway', 'New York, NY 10034']",DCjRqV6kRPU0h-MaRRcVrQ,3.5,478,"{'latitude': 40.867068, 'longitude': -73.922459}",$$
39,North Pole Pub,"['428 Bergen St', 'Brooklyn, NY 11217']",uVimnyjMcc7MOGzd2NRX-w,5.0,42,"{'latitude': 40.68154, 'longitude': -73.9774}",$$
40,The Dead Poet,"['450 Amsterdam Ave', 'New York, NY 10024']",bkIMbvXOcztDVz8bpyhMzQ,4.0,434,"{'latitude': 40.78499, 'longitude': -73.97735}",$$
41,Pat's Sports Bar,"['7313 Metropolitan Ave', 'Middle Village, NY 11379']",4I4vMGN47CmnvG8YmRK7Qg,4.5,13,"{'latitude': 40.7128967, 'longitude': -73.8788221}",$
42,Sweet Spot,"['2272 31st St', 'Astoria, NY 11105']",S0YxOutCTnZwS0-L1lGoyg,3.5,309,"{'latitude': 40.7747291, 'longitude': -73.9124026}",$$
43,Old Stanley's,"['226 Wyckoff Ave', 'Brooklyn, NY 11237']",qJOkS_t5FcNur2EkAb6u1A,4.0,68,"{'latitude': 40.700852, 'longitude': -73.914041}",$
44,Moot Bar,"['579 Myrtle Ave', 'Brooklyn, NY 11205']",TE87BLxClCcIg62i0xVgMg,4.5,42,"{'latitude': 40.6941986, 'longitude': -73.9609604}",$
45,The Chester,"['18 9th Ave', 'New York, NY 10014']",dadH6POPTxSGzLGQR93rIw,3.0,286,"{'latitude': 40.7398532, 'longitude': -74.0057335}",$$
46,The Crisis Bar,"['913 Broadway', 'Brooklyn, NY 11206']",exn0GUwgqcZ3QdFbfmo3Eg,4.5,20,"{'latitude': 40.697827, 'longitude': -73.93623}",$$
